Port Name,Date,Value
Turner,10/1/1998 00:00,2211
Turner,10/1/1999 00:00,1801
Turner,10/1/2000 00:00,1628
Turner,10/1/2001 00:00,1496
Turner,10/1/2002 00:00,1346
Turner,10/1/2003 00:00,32
Turner,10/1/2004 00:00,1552
Turner,10/1/2005 00:00,1521
Turner,10/1/2006 00:00,1367
Turner,10/1/2007 00:00,2156
Turner,10/1/2008 00:00,1990
Turner,10/1/2009 00:00,2025
Turner,10/1/2010 00:00,2513
Turner,10/1/2011 00:00,2898
Turner,10/1/2012 00:00,3150
Turner,10/1/2013 00:00,3520
Turner,10/1/2014 00:00,3504
Turner,10/1/2015 00:00,2720
Turner,10/1/2016 00:00,2607
Turner,10/1/2017 00:00,2630
Turner,10/1/2018 00:00,2689
Turner,10/1/2019 00:00,2656
Turner,11/1/1996 00:00,2562
Turner,11/1/1997 00:00,2327
Turner,11/1/1998 00:00,1588
Turner,11/1/1999 00:00,1890
Turner,11/1/2000 00:00,1320
Turner,11/1/2001 00:00,1105
Turner,11/1/2002 00:00,1218
Turner,11/1/2003 00:00,1039
Turner,11/1/2004 00:00,1186
Turner,11/1/2005 00:00,1200
Turner,11/1/2006 00:00,1140
Turner,11/1/2007 00:00,2431
Turner,11/1/2008 00:00,1710
Turner,11/1/2009 00:00,2257
Turner,11/1/2010 00:00,2415
Turner,11/1/2011 00:00,2649
Turner,11/1/2012 00:00,3209
Turner,11/1/2013 00:00,3211
Turner,11/1/2014 00:00,2829
Turner,11/1/2015 00:00,2173
Turner,11/1/2016 00:00,2465
Turner,11/1/2017 00:00,1830
Turner,11/1/2018 00:00,1910
Turner,11/1/2019 00:00,2068
Turner,12/1/1996 00:00,1578
Turner,12/1/1997 00:00,2485
Turner,12/1/1998 00:00,1420
Turner,12/1/1999 00:00,1639
Turner,12/1/2000 00:00,1544
Turner,12/1/2001 00:00,1238
Turner,12/1/2002 00:00,1489
Turner,12/1/2003 00:00,1566
Turner,12/1/2004 00:00,1337
Turner,12/1/2005 00:00,1295
Turner,12/1/2006 00:00,1350
Turner,12/1/2007 00:00,2097
Turner,12/1/2008 00:00,1667
Turner,12/1/2009 00:00,2045
Turner,12/1/2010 00:00,2529
Turner,12/1/2011 00:00,2835
Turner,12/1/2012 00:00,3374
Turner,12/1/2013 00:00,3027
Turner,12/1/2014 00:00,3563
Turner,12/1/2015 00:00,2530
Turner,12/1/2016 00:00,2795
Turner,12/1/2017 00:00,2640
Turner,12/1/2018 00:00,2358
Turner,12/1/2019 00:00,2729
Turner,2/1/1996 00:00,2696
Turner,2/1/1997 00:00,2590
Turner,2/1/1998 00:00,2290
Turner,2/1/1999 00:00,1410
Turner,2/1/2000 00:00,2076
Turner,2/1/2001 00:00,2044
Turner,2/1/2002 00:00,1280
Turner,2/1/2003 00:00,1228
Turner,2/1/2004 00:00,1400
Turner,2/1/2005 00:00,1530
Turner,2/1/2006 00:00,1564
Turner,2/1/2007 00:00,1342
Turner,2/1/2008 00:00,2027
Turner,2/1/2009 00:00,1685
Turner,2/1/2010 00:00,1854
Turner,2/1/2011 00:00,1761
Turner,2/1/2012 00:00,2676
Turner,2/1/2013 00:00,2750
Turner,2/1/2014 00:00,2723
Turner,2/1/2015 00:00,2808
Turner,2/1/2016 00:00,1839
Turner,2/1/2017 00:00,2563
Turner,2/1/2018 00:00,2121
Turner,2/1/2019 00:00,1670
Turner,2/1/2020 00:00,2041
Turner,3/1/1996 00:00,1497
Turner,3/1/1997 00:00,1899
Turner,3/1/1998 00:00,1619
Turner,3/1/1999 00:00,1485
Turner,3/1/2000 00:00,1453
Turner,3/1/2001 00:00,1353
Turner,3/1/2002 00:00,1258
Turner,3/1/2003 00:00,948
Turner,3/1/2004 00:00,1175
Turner,3/1/2005 00:00,1173
Turner,3/1/2006 00:00,968
Turner,3/1/2007 00:00,1025
Turner,3/1/2008 00:00,380
Turner,3/1/2009 00:00,1306
Turner,3/1/2010 00:00,1512
Turner,3/1/2011 00:00,1407
Turner,3/1/2012 00:00,2264
Turner,3/1/2013 00:00,2489
Turner,3/1/2014 00:00,2105
Turner,3/1/2015 00:00,2835
Turner,3/1/2016 00:00,2245
Turner,3/1/2017 00:00,2207
Turner,3/1/2018 00:00,1703
Turner,3/1/2019 00:00,1467
Turner,4/1/1996 00:00,2157
Turner,4/1/1997 00:00,2145
Turner,4/1/1998 00:00,1926
Turner,4/1/1999 00:00,1558
Turner,4/1/2000 00:00,1516
Turner,4/1/2001 00:00,974
Turner,4/1/2002 00:00,1051
Turner,4/1/2003 00:00,1002
Turner,4/1/2004 00:00,1203
Turner,4/1/2005 00:00,997
Turner,4/1/2006 00:00,1190
Turner,4/1/2007 00:00,1176
Turner,4/1/2008 00:00,444
Turner,4/1/2009 00:00,1592
Turner,4/1/2010 00:00,2018
Turner,4/1/2011 00:00,2112
Turner,4/1/2012 00:00,2937
Turner,4/1/2013 00:00,2692
Turner,4/1/2014 00:00,2686
Turner,4/1/2015 00:00,2510
Turner,4/1/2016 00:00,1805
Turner,4/1/2017 00:00,2341
Turner,4/1/2018 00:00,1701
Turner,4/1/2019 00:00,2102
Turner,5/1/1996 00:00,1784
Turner,5/1/1997 00:00,2793
Turner,5/1/1998 00:00,1894
Turner,5/1/1999 00:00,1672
Turner,5/1/2000 00:00,1647
Turner,5/1/2001 00:00,1110
Turner,5/1/2002 00:00,1169
Turner,5/1/2003 00:00,1106
Turner,5/1/2004 00:00,892
Turner,5/1/2005 00:00,1230
Turner,5/1/2006 00:00,1233
Turner,5/1/2007 00:00,1120
Turner,5/1/2008 00:00,564
Turner,5/1/2009 00:00,1678
Turner,5/1/2010 00:00,2154
Turner,5/1/2011 00:00,2237
Turner,5/1/2012 00:00,2572
Turner,5/1/2013 00:00,2551
Turner,5/1/2014 00:00,2503
Turner,5/1/2015 00:00,2268
Turner,5/1/2016 00:00,2086
Turner,5/1/2017 00:00,1830
Turner,5/1/2018 00:00,1981
Turner,5/1/2019 00:00,1835
Turner,6/1/1996 00:00,2916
Turner,6/1/1997 00:00,3031
Turner,6/1/1998 00:00,2491
Turner,6/1/1999 00:00,2294
Turner,6/1/2000 00:00,1762
Turner,6/1/2001 00:00,1697
Turner,6/1/2002 00:00,1748
Turner,6/1/2003 00:00,1502
Turner,6/1/2004 00:00,1257
Turner,6/1/2005 00:00,1450
Turner,6/1/2006 00:00,1430
Turner,6/1/2007 00:00,1605
Turner,6/1/2008 00:00,612
Turner,6/1/2009 00:00,1825
Turner,6/1/2010 00:00,2541
Turner,6/1/2011 00:00,2477
Turner,6/1/2012 00:00,2834
Turner,6/1/2013 00:00,3274
Turner,6/1/2014 00:00,3049
Turner,6/1/2015 00:00,2746
