A,State,Date,Value
379,ID,12/1/2012 0:00,67777
380,ID,12/1/2013 0:00,69875
381,ID,12/1/2014 0:00,71928
382,ID,12/1/2015 0:00,58210
383,ID,12/1/2016 0:00,56816
384,ID,12/1/2017 0:00,57077
385,ID,12/1/2018 0:00,57541
386,ID,12/1/2019 0:00,57757
387,ID,2/1/1996 0:00,46009
388,ID,2/1/1997 0:00,52852
389,ID,2/1/1998 0:00,50900
390,ID,2/1/1999 0:00,50717
391,ID,2/1/2000 0:00,55254
392,ID,2/1/2001 0:00,51660
393,ID,2/1/2002 0:00,48955
394,ID,2/1/2003 0:00,50038
395,ID,2/1/2004 0:00,44126
396,ID,2/1/2005 0:00,47691
397,ID,2/1/2006 0:00,47595
398,ID,2/1/2007 0:00,52794
399,ID,2/1/2008 0:00,65896
400,ID,2/1/2009 0:00,59544
401,ID,2/1/2010 0:00,62895
402,ID,2/1/2011 0:00,59744
403,ID,2/1/2012 0:00,63471
404,ID,2/1/2013 0:00,65244
405,ID,2/1/2014 0:00,60924
406,ID,2/1/2015 0:00,61304
407,ID,2/1/2016 0:00,54888
408,ID,2/1/2017 0:00,51332
409,ID,2/1/2018 0:00,51480
410,ID,2/1/2019 0:00,46344
411,ID,2/1/2020 0:00,53890
412,ID,3/1/1996 0:00,66688
413,ID,3/1/1997 0:00,64305
414,ID,3/1/1998 0:00,62088
415,ID,3/1/1999 0:00,62357
416,ID,3/1/2000 0:00,66833
417,ID,3/1/2001 0:00,67368
418,ID,3/1/2002 0:00,58182
419,ID,3/1/2003 0:00,52903
420,ID,3/1/2004 0:00,52703
421,ID,3/1/2005 0:00,54239
422,ID,3/1/2006 0:00,59620
423,ID,3/1/2007 0:00,60971
424,ID,3/1/2008 0:00,79219
425,ID,3/1/2009 0:00,63971
426,ID,3/1/2010 0:00,78413
427,ID,3/1/2011 0:00,74673
428,ID,3/1/2012 0:00,72657
429,ID,3/1/2013 0:00,79536
430,ID,3/1/2014 0:00,74110
431,ID,3/1/2015 0:00,72462
432,ID,3/1/2016 0:00,65406
433,ID,3/1/2017 0:00,61794
434,ID,3/1/2018 0:00,67305
435,ID,3/1/2019 0:00,61054
436,ID,4/1/1996 0:00,78561
437,ID,4/1/1997 0:00,73219
438,ID,4/1/1998 0:00,73762
439,ID,4/1/1999 0:00,73033
440,ID,4/1/2000 0:00,68290
441,ID,4/1/2001 0:00,69414
442,ID,4/1/2002 0:00,59697
443,ID,4/1/2003 0:00,54529
444,ID,4/1/2004 0:00,54235
445,ID,4/1/2005 0:00,54516
446,ID,4/1/2006 0:00,59109
447,ID,4/1/2007 0:00,60309
448,ID,4/1/2008 0:00,83891
449,ID,4/1/2009 0:00,64578
450,ID,4/1/2010 0:00,80388
451,ID,4/1/2011 0:00,81067
452,ID,4/1/2012 0:00,74955
453,ID,4/1/2013 0:00,77383
454,ID,4/1/2014 0:00,80307
455,ID,4/1/2015 0:00,73871
456,ID,4/1/2016 0:00,65301
457,ID,4/1/2017 0:00,71279
458,ID,4/1/2018 0:00,65506
459,ID,4/1/2019 0:00,67032
460,ID,5/1/1996 0:00,84131
461,ID,5/1/1997 0:00,83656
462,ID,5/1/1998 0:00,83081
463,ID,5/1/1999 0:00,78471
464,ID,5/1/2000 0:00,77808
465,ID,5/1/2001 0:00,74464
466,ID,5/1/2002 0:00,66524
467,ID,5/1/2003 0:00,59944
468,ID,5/1/2004 0:00,58047
469,ID,5/1/2005 0:00,60901
470,ID,5/1/2006 0:00,65985
471,ID,5/1/2007 0:00,66775
472,ID,5/1/2008 0:00,93564
